3793, 4840
2488, 3860
1382, 3030
3633, 4720
1554, 3160
3052, 4280
2635, 3970
2897, 4170
3853, 4890
3698, 4770
25, 2010
2577, 3930
94, 2070
1078, 2800
2176, 3630
2406, 3800
1928, 3440
2020, 3510
2468, 3850
1823, 3360
3635, 4720
1639, 3220
2754, 4060
60, 2040
3735, 4800
1269, 2950
3990, 4990
2405, 3800
3087, 4310
480, 2360
248, 2180
3657, 4740
383, 2280
2866, 4140
1941, 3450
178, 2130
690, 2510
1347, 3010
3867, 4900
3574, 4680
3261, 4440
2131, 3590
1751, 3310
1753, 3310
2954, 4210
57, 2040
1746, 3310
2278, 3700
3337, 4500
1549, 3160
2538, 3900
346, 2250
771, 2570
3199, 4390
547, 2410
2154, 3610
3733, 4800
1323, 2990
3898, 4920
286, 2210
3061, 4290
230, 2170
3810, 4850
3374, 4530
3450, 4580
368, 2270
2195, 3640
1228, 2920
3136, 4350
1999, 3490
1717, 3280
582, 2430
2152, 3610
2893, 4170
2561, 3920
1505, 3120
3887, 4910
1002, 2750
1105, 2820
3678, 4750
3523, 4640
1712, 3280
3067, 4300
1539, 3150
3901, 3450
2887, 4920
1184, 4160
2319, 2880
3787, 3730
444, 4840
3366, 2330
1448, 4520
3582, 3080
514, 4680
3032, 2380
2321, 4270
2377, 3740
2302, 3780
2587, 3720
1862, 3940
519, 3390
3142, 2380
1338, 4350
3832, 3000
1957, 4870
2193, 3460
1877, 3640
638, 3400
3042, 2470
2266, 4280
2732, 3700
219, 4040
221, 2160
762, 2160
1349, 2570
1162, 3010
2271, 2870
1433, 3700
3548, 3070
1480, 4660
1011, 3110
2909, 2750
3348, 4180
1556, 4510
2350, 3160
3133, 3760
2570, 4350
2380, 3920
3529, 3780
3183, 4640
1511, 4380
2699, 3130
2517, 4020
1817, 3880
3005, 3360
1730, 4250
1707, 3920
3983, 3290
1709, 3280
546, 4980
3276, 3280
1521, 2750
1711, 2400
3148, 4450
2820, 3140
3165, 3280
1870, 4360
51, 2920
944, 4110
2753, 4370
1107, 3400
851, 2030
1609, 2700
3782, 4060
1482, 2830
2824, 2630
3623, 3200
3497, 4840
1109, 4830
3858, 3110
756, 4110
33, 4710
1701, 4620
2403, 2830
1757, 4890
2778, 2560
3432, 2020
564, 3270
1449, 3800
1840, 3310
470, 4080
466, 4570
3632, 2420
1828, 3080
3845, 3380
3201, 2350
1905, 2340
3750, 4720
3214, 3370
1659, 4880
567, 4400
3946, 3420
1411, 4810
967, 4410
1396, 3240
2777, 4350
1948, 2420
225, 4960
1160, 3050
2086, 2720
1513, 3040
3437, 4080
3417, 3460
766, 2160
1678, 2870
2825, 3560
1063, 3130
387, 4570
2437, 4560
3486, 2570
3494, 3250
913, 3080
637, 4110
386, 2790
1977, 2290
1966, 3820
3937, 4610
2281, 4620
920, 2680
3872, 2470
283, 2280
3449, 3480
726, 3470
189, 4950
87, 3710
290, 2680
1436, 4900
362, 2210
2, 4580
1485, 2540
339, 2140
3754, 2060
2957, 2210
1028, 3070
215, 2270
1062, 2000
2167, 3110
1754, 2250
3080, 2210
2687, 4810
2827, 4210
3222, 2770
3647, 2160
1072, 2790
3034, 3620
774, 3310
3419, 4310
811, 4010
2011, 4120
1944, 4410
241, 4730
2213, 2800
1230, 4270
3987, 2580
2692, 2430
578, 4560
1592, 2600
1158, 3500
1389, 3450
702, 2180
953, 3660
3147, 2920
3205, 4990
1159, 4010
1680, 2430
3357, 3190
1762, 2860
905, 3040
1770, 2520
527, 2280
1839, 2710
1186, 4360
1456, 4400
228, 2860
1079, 3260
3116, 4510
1052, 3320
3516, 2670
855, 3320
943, 2390
3191, 3380
3474, 2880
2394, 3090
50, 2170
1542, 2800
1727, 4330
1041, 2780
1523, 4630
484, 2640
576, 2700
596, 4390
1691, 4600
1986, 3790
2442, 2030
2269, 3150
500, 3290
1867, 2780
1876, 3140
3093, 2360
1224, 2430
1657, 2440
3906, 3260
1417, 3480
2401, 3830
1027, 3700
3774, 2370
3759, 3400
1614, 3400
1461, 4320
540, 2910
1642, 3240
534, 4930
1195, 2180
1479, 3060
753, 3800
3155, 2770
3616, 4830
3953, 4820
2317, 3210
240, 3090
421, 2400
3931, 3230
149, 2400
3200, 4810
3013, 2890
1959, 3100
579, 2560
1250, 4360
3176, 4710
423, 4960
3631, 3730
3285, 2180
3284, 2310
3233, 2890
977, 4940
1649, 2110
515, 4400
1952, 4260
1281, 3460
3909, 2430
3023, 2930
36, 4380
2227, 2310
1248, 4720
790, 4460
3746, 4460
2711, 4420
2259, 2730
3140, 3230
2907, 2380
1418, 3460
3485, 2960
3046, 4930
1486, 4260
2253, 2020
1827, 4210
1801, 2860
1035, 3670
211, 2930
1364, 2590
1219, 4810
903, 4030
474, 3690
1910, 4350
2246, 4180
3776, 3060
1507, 4610
3102, 4280
2001, 3110
1036, 3690
331, 3370
1398, 2570
978, 3350
2990, 2770
974, 2150
1765, 3020
1169, 2910
833, 2670
2539, 2350
918, 3430
1283, 3680
724, 4830
1868, 3130
3799, 4320
188, 3500
3491, 2770
3396, 2240
1191, 3040
3479, 2870
2874, 2730
2812, 4240
2672, 2730
1735, 3320
256, 2870
3338, 2620
2544, 3900
3970, 2680
1204, 2960
3156, 2540
1139, 3400
1871, 4840
1087, 2140
2088, 4610
1886, 4540
509, 4010
3262, 2890
854, 4610
2996, 4150
633, 4100
203, 4000
1672, 3300
446, 2190
3935, 3310
179, 4500
2606, 3900
2111, 4970
2058, 2900
285, 4360
415, 2850
1557, 3400
2586, 2810
3242, 3560
2735, 3410
3220, 2380
2427, 4440
2624, 2640
863, 4240
1335, 2470
1761, 2150
145, 3250
2853, 2330
781, 4950
2301, 2130
2982, 3950
134, 3580
1834, 3540
2847, 2210
1140, 3580
2226, 2310
1800, 2600
77, 3160
487, 3090
3685, 3930
2742, 3860
329, 4430
315, 4050
3630, 4410
3501, 3820
3398, 3960
1267, 2640
1633, 3000
569, 3320
2009, 2100
3340, 4140
338, 2580
2685, 3280
3791, 3720
1326, 4230
1825, 2100
399, 3370
3757, 3640
1303, 4130
2580, 4000
2615, 2850
2709, 3660
2784, 3350
1446, 2050
262, 4360
1443, 2920
2658, 2360
74, 4760
1200, 4320
2137, 4050
1177, 2240
2242, 2230
3019, 4720
3815, 4620
1150, 4540
2210, 2950
2902, 2390
1716, 3220
3607, 2420
202, 3500
1626, 4500
838, 2250
3332, 4010
803, 4840
3541, 2990
2008, 3360
2751, 2290
1322, 4810
829, 2970
730, 3480
2383, 3930
1116, 3960
162, 4030
1713, 4080
1605, 3080
847, 2190
2055, 3080
3824, 3990
1559, 2050
3368, 2900
